Sentence ID,Sentences
file-katl_e_bayan-1507111042__1.0,भवानीनन्दन दफ्तर से आते ही कमरे में बिछी चटाई पर पसर गये । 
file-katl_e_bayan-1507111042__1.1,भवानीनन्दन दफ्तर से चटाई पर कमरे में बिछी आते ही पसर गये । 
file-katl_e_bayan-1507111042__1.2,आते ही दफ्तर से भवानीनन्दन कमरे में बिछी चटाई पर पसर गये । 
file-katl_e_bayan-1507111042__1.3,आते ही दफ्तर से चटाई पर कमरे में बिछी भवानीनन्दन पसर गये । 
file-katl_e_bayan-1507111042__1.4,चटाई पर दफ्तर से भवानीनन्दन कमरे में बिछी आते ही पसर गये । 
file-katl_e_bayan-1507111042__1.5,चटाई पर दफ्तर से आते ही कमरे में बिछी भवानीनन्दन पसर गये । 
file-katl_e_bayan-1507111042__2.0,भवानीनन्दन को चारों खाने चित पसरा देखकर पुष्पा की चुन्नी खड़ी हो गयी । 
file-katl_e_bayan-1507111042__2.1,भवानीनन्दन को चारों खाने चित पसरा देखकर पुष्पा की खड़ी चुन्नी हो गयी । 
file-katl_e_bayan-1507111042__2.2,भवानीनन्दन को चारों खाने चित पसरा चुन्नी पुष्पा की देखकर खड़ी हो गयी । 
file-katl_e_bayan-1507111042__2.3,भवानीनन्दन को चारों खाने चित पसरा चुन्नी पुष्पा की खड़ी देखकर हो गयी । 
file-katl_e_bayan-1507111042__2.4,भवानीनन्दन को चारों खाने चित पसरा खड़ी पुष्पा की देखकर चुन्नी हो गयी । 
file-katl_e_bayan-1507111042__2.5,भवानीनन्दन को चारों खाने चित पसरा खड़ी पुष्पा की चुन्नी देखकर हो गयी । 
file-katl_e_bayan-1507111042__3.0,वह दौड़कर लोटे में पानी लायी और आंचल पानी में भीगोकर भवानीनन्दन का माथा पोंछते हुए कहने लगी क्यों चिन्ता में डूबे रहते हो । 
file-katl_e_bayan-1507111042__3.1,वह दौड़कर लोटे में पानी लायी और आंचल पानी में भीगोकर भवानीनन्दन का माथा पोंछते हुए कहने लगी चिन्ता में क्यों डूबे रहते हो । 
file-katl_e_bayan-1507111042__6.0,तुम अपनी योग्यता को रचनात्मक कामों में लगाकर चिन्ता मुक्त तो हो सकते हो । 
file-katl_e_bayan-1507111042__6.1,तुम अपनी योग्यता को रचनात्मक कामों में चिन्ता मुक्त तो लगाकर हो सकते हो । 
file-katl_e_bayan-1507111042__6.2,लगाकर अपनी योग्यता को रचनात्मक कामों में तुम चिन्ता मुक्त तो हो सकते हो । 
file-katl_e_bayan-1507111042__6.3,लगाकर अपनी योग्यता को रचनात्मक कामों में चिन्ता मुक्त तो तुम हो सकते हो । 
file-katl_e_bayan-1507111042__6.4,चिन्ता मुक्त तो अपनी योग्यता को रचनात्मक कामों में तुम लगाकर हो सकते हो । 
file-katl_e_bayan-1507111042__6.5,चिन्ता मुक्त तो अपनी योग्यता को रचनात्मक कामों में लगाकर तुम हो सकते हो । 
file-katl_e_bayan-1507111042__9.0,बातों का बोझ चिन्ता बढाता है । 
file-katl_e_bayan-1507111042__9.1,बातों का चिन्ता बोझ बढाता है । 
file-katl_e_bayan-1507111042__10.0,आज फिर दफ्तर में कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.1,आज फिर दफ्तर में दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.2,आज फिर कोई दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.3,आज फिर कोई दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.4,आज फिर दुर्व्यवहार दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.5,आज फिर दुर्व्यवहार कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.6,आज दफ्तर में फिर कोई दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.7,आज दफ्तर में फिर दुर्व्यवहार कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.8,आज दफ्तर में कोई फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.9,आज दफ्तर में कोई दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.10,आज दफ्तर में दुर्व्यवहार फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.11,आज दफ्तर में दुर्व्यवहार कोई फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.12,आज कोई फिर दफ्तर में दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.13,आज कोई फिर दुर्व्यवहार दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.14,आज कोई दफ्तर में फिर दुर्व्यवहार कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.15,आज कोई दफ्तर में दुर्व्यवहार फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.16,आज कोई दुर्व्यवहार फिर दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.17,आज कोई दुर्व्यवहार दफ्तर में फिर कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.18,आज दुर्व्यवहार फिर दफ्तर में कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.19,आज दुर्व्यवहार फिर कोई दफ्तर में कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.20,आज दुर्व्यवहार दफ्तर में फिर कोई कर दिया क्या ? 
file-katl_e_bayan-1507111042__10.21,आज दुर्व्यवहार दफ्तर में कोई फिर कर दिया क्या ? 
