Technique,Model,AUC-ROC,PR-AUC,F1-Score,Precision,Recall,Accuracy
Baseline,Logistic Regression,0.6657046183369947,0.42596934837857986,0.10493827160493827,1.0,0.05537459283387622,0.8995497055767232
Baseline,Cost-Sensitive LR,0.6644900638840492,0.33374600843967084,0.22244897959183674,0.13188142770719904,0.7100977198697068,0.47211638378940074
Baseline,SVM,0.6961202434159027,0.4833716774761598,0.44556962025316454,1.0,0.28664495114006516,0.9241427086941462
Baseline,Cost-Sensitive SVM,0.7829937125975305,0.5018236029445389,0.3846838824577026,0.2647058823529412,0.7035830618892508,0.7606511950121233
Baseline,Decision Tree,0.7328699845971265,0.4815801526650347,0.4988662131519274,0.8208955223880597,0.3583061889250814,0.9234499480429511
Baseline,Cost-Sensitive DT,0.7431514026715147,0.42254898216177916,0.26365795724465557,0.16122004357298475,0.7231270358306189,0.5704883962590925
Baseline,XGBoost,0.7825979092492992,0.5568427742004652,0.4931506849315068,0.8244274809160306,0.3517915309446254,0.9231035677173537
Baseline,AdaBoost,0.7292433654016109,0.5347133341963461,0.48792270531400966,0.9439252336448598,0.3289902280130293,0.9265673709733288
Baseline,Calibrated LR,0.6660859025831376,0.4264114551044437,0.06918238993710692,1.0,0.035830618892508145,0.8974714236231383
Baseline,RUSBoost,0.5863192182410424,0.2606190391838512,0.29444444444444445,1.0,0.17263843648208468,0.9120193972982334
Baseline,Easy Ensemble,0.7933041688760953,0.5302903091628306,0.4200196270853778,0.300561797752809,0.6970684039087948,0.7952892275718739
Baseline,Balanced Bagging,0.7403018710703734,0.5178285111961907,0.34726090993500464,0.24285714285714285,0.6091205211726385,0.7564946311049532
Random Undersampling,Logistic Regression,0.6622680099992425,0.34547070873325403,0.3008695652173913,0.20521945432977462,0.5635179153094463,0.7215102182196051
Random Undersampling,Cost-Sensitive LR,0.6732217256268465,0.3078362963493663,0.19184952978056427,0.10613943808532779,0.996742671009772,0.10703152060962938
Random Undersampling,SVM,0.7781601141327678,0.4668275391242012,0.46446700507614214,0.3804573804573805,0.5960912052117264,0.8538275025978525
Random Undersampling,Cost-Sensitive SVM,0.6135280155543772,0.2659088503473214,0.19178940770918207,0.10610263522884882,0.996742671009772,0.10668514028403187
Random Undersampling,Decision Tree,0.7151169103350756,0.3271966184835641,0.39786096256684494,0.2961783439490446,0.6058631921824105,0.804987876688604
Random Undersampling,Cost-Sensitive DT,0.7594500416635104,0.4506167636563878,0.19404483104717296,0.1081282624906786,0.9446254071661238,0.1655697956356079
Random Undersampling,XGBoost,0.7500650203267429,0.5311801787353658,0.3387096774193548,0.23362175525339926,0.6156351791530945,0.7443713197090406
Random Undersampling,AdaBoost,0.7657393379289448,0.5587600948892394,0.4370860927152318,0.330550918196995,0.6449511400651465,0.823346033945272
Random Undersampling,Calibrated LR,0.6623084109789662,0.34488101564259205,0.2988705473501303,0.2037914691943128,0.5602605863192183,0.7204710772428126
Random Undersampling,RUSBoost,0.7086281342322552,0.24555005464674126,0.38328236493374107,0.2789317507418398,0.6123778501628665,0.7904399030135089
Random Undersampling,Easy Ensemble,0.7722356892154635,0.5293617090863767,0.420533070088845,0.301699716713881,0.6938110749185668,0.7966747488742639
Random Undersampling,Balanced Bagging,0.7166325783400247,0.49622552790971786,0.26434558349451964,0.1647909967845659,0.6677524429967426,0.6047800484932456
NearMiss-1,Logistic Regression,0.36836855793753,0.09689183889195352,0.1444866920152091,0.08300970873786408,0.5570032573289903,0.2985798406650502
NearMiss-1,Cost-Sensitive LR,0.370959270762316,0.09621002750868608,0.19223544145272387,0.10633875995843436,1.0,0.10633875995843436
NearMiss-1,SVM,0.5170946645456151,0.13207044516601016,0.16413623307345096,0.09389671361502347,0.6514657980456026,0.29442327675788016
NearMiss-1,Cost-Sensitive SVM,0.5570947907986769,0.12704346971126085,0.19223544145272387,0.10633875995843436,1.0,0.10633875995843436
NearMiss-1,Decision Tree,0.46799043001792795,0.0989401923244151,0.1713131313131313,0.09778597785977859,0.6905537459283387,0.2895739521995151
NearMiss-1,Cost-Sensitive DT,0.4641384491073908,0.09826915582759162,0.19103313840155944,0.10609888127029952,0.9576547231270358,0.1375129892622099
NearMiss-1,XGBoost,0.5135860919627301,0.2044197640333815,0.17777777777777778,0.10073816760746852,0.755700325732899,0.256667821267752
NearMiss-1,AdaBoost,0.5211454940282302,0.19222513910858544,0.18106312292358803,0.10376011423131842,0.7100977198697068,0.31693799792171806
NearMiss-1,Calibrated LR,0.3675883140166149,0.09717158241986154,0.14627994955863807,0.08397683397683398,0.5667752442996743,0.29650155871146516
