Technique,Model,Accuracy,Precision,Recall,F1-Score
Baseline,Logistic Regression,0.8892261001517451,1.0,0.048859934853420196,0.09316770186335403
Baseline,Cost-Sensitive LR,0.5390743550834598,0.16519174041297935,0.7296416938110749,0.2693926638604931
Baseline,SVM,0.9214719271623673,1.0,0.3257328990228013,0.4914004914004914
Baseline,Cost-Sensitive SVM,0.7458270106221547,0.2783882783882784,0.742671009771987,0.4049733570159858
Baseline,Decision Tree,0.9150227617602428,0.7748344370860927,0.3811074918566775,0.5109170305676856
Baseline,Cost-Sensitive DT,0.6764036418816388,0.215625,0.6742671009771987,0.3267561168113654
Baseline,XGBoost,0.9241274658573596,0.9083969465648855,0.38762214983713356,0.54337899543379
Baseline,AdaBoost,0.9218512898330804,0.954954954954955,0.34527687296416937,0.507177033492823
Baseline,Calibrated LR,0.887329286798179,1.0,0.03257328990228013,0.06309148264984227
Baseline,RUSBoost,0.9081942336874052,1.0,0.21172638436482086,0.34946236559139787
Baseline,Easy Ensemble,0.678679817905918,0.234251968503937,0.7752442996742671,0.35978835978835977
Baseline,Balanced Bagging,0.7101669195751138,0.23705408515535098,0.6710097719869706,0.35034013605442177
Random Undersampling,Logistic Regression,0.877845220030349,0.46411483253588515,0.31596091205211724,0.375968992248062
Random Undersampling,Cost-Sensitive LR,0.11646433990895295,0.11617312072892938,0.996742671009772,0.20809248554913296
Random Undersampling,SVM,0.9009863429438544,0.5864661654135338,0.50814332247557,0.5445026178010471
Random Undersampling,Cost-Sensitive SVM,0.16009104704097116,0.12087475149105367,0.990228013029316,0.21545003543586108
Random Undersampling,Decision Tree,0.8072837632776935,0.3182640144665461,0.5732899022801303,0.40930232558139534
Random Undersampling,Cost-Sensitive DT,0.332701062215478,0.13407258064516128,0.8664495114006515,0.23221300742034046
Random Undersampling,XGBoost,0.832701062215478,0.366,0.5960912052117264,0.45353159851301117
Random Undersampling,AdaBoost,0.8839150227617603,0.5013927576601671,0.5863192182410424,0.5405405405405406
Random Undersampling,Calibrated LR,0.8786039453717754,0.4682926829268293,0.3127035830618892,0.375
Random Undersampling,RUSBoost,0.6547799696509864,0.20925747348119575,0.7068403908794788,0.3229166666666667
Random Undersampling,Easy Ensemble,0.6957511380880121,0.24458204334365324,0.7719869706840391,0.3714733542319749
Random Undersampling,Balanced Bagging,0.6339150227617603,0.2009090909090909,0.7198697068403909,0.31414356787491116
NearMiss-1,Logistic Regression,0.37632776934749623,0.09946075494307968,0.5407166123778502,0.1680161943319838
NearMiss-1,Cost-Sensitive LR,0.11646433990895295,0.11646433990895295,1.0,0.2086306489976215
NearMiss-1,SVM,0.3273899848254932,0.11216931216931217,0.6905537459283387,0.19299044151115158
NearMiss-1,Cost-Sensitive SVM,0.11646433990895295,0.11646433990895295,1.0,0.2086306489976215
NearMiss-1,Decision Tree,0.2822458270106222,0.11322596388482187,0.755700325732899,0.1969439728353141
NearMiss-1,Cost-Sensitive DT,0.1460546282245827,0.11641673243883188,0.9609120521172638,0.20767335445265753
NearMiss-1,XGBoost,0.22534142640364188,0.10799819249887031,0.7785016286644951,0.18968253968253967
NearMiss-1,AdaBoost,0.2522761760242792,0.10938967136150235,0.758957654723127,0.19121871153057038
NearMiss-1,Calibrated LR,0.3622913505311077,0.0977751756440281,0.5439739413680782,0.16575682382133994
NearMiss-1,RUSBoost,0.3106980273141123,0.10677083333333333,0.6677524429967426,0.18410417602155366
NearMiss-1,Easy Ensemble,0.3482549317147193,0.11000552791597568,0.6482084690553745,0.1880907372400756
NearMiss-1,Balanced Bagging,0.2306525037936267,0.11116131947582467,0.8013029315960912,0.19523809523809524
NearMiss-2,Logistic Regression,0.20523520485584218,0.12310286677908938,0.9511400651465798,0.21799178798058977
NearMiss-2,Cost-Sensitive LR,0.1665402124430956,0.12078651685393259,0.9804560260586319,0.2150768131475527
NearMiss-2,SVM,0.21282245827010624,0.12731871838111297,0.9837133550488599,0.22545726017170586
NearMiss-2,Cost-Sensitive SVM,0.19081942336874053,0.12489728841413311,0.990228013029316,0.2218168551623495
NearMiss-2,Decision Tree,0.18968133535660092,0.124435318275154,0.9869706840390879,0.2210065645514223
NearMiss-2,Cost-Sensitive DT,0.18664643399089528,0.12371978697255223,0.9837133550488599,0.2197962154294032
NearMiss-2,XGBoost,0.20182094081942337,0.12609238451935081,0.9869706840390879,0.22361623616236162
NearMiss-2,AdaBoost,0.19157814871016693,0.1243822075782537,0.9837133550488599,0.22084095063985376
NearMiss-2,Calibrated LR,0.20523520485584218,0.12310286677908938,0.9511400651465798,0.21799178798058977
NearMiss-2,RUSBoost,0.20220030349013657,0.1255212677231026,0.9804560260586319,0.22255083179297597
NearMiss-2,Easy Ensemble,0.20144157814871017,0.12479131886477463,0.9739413680781759,0.22123566407695153
NearMiss-2,Balanced Bagging,0.19802731411229135,0.1255698300870286,0.9869706840390879,0.22279411764705884
Tomek Links,Logistic Regression,0.8896054628224582,1.0,0.05211726384364821,0.09907120743034056
Tomek Links,Cost-Sensitive LR,0.7905918057663126,0.2824156305506217,0.5179153094462541,0.36551724137931035
Tomek Links,SVM,0.9214719271623673,1.0,0.3257328990228013,0.4914004914004914
Tomek Links,Cost-Sensitive SVM,0.8865705614567526,0.5117647058823529,0.5667752442996743,0.5378670788253478
Tomek Links,Decision Tree,0.9180576631259484,0.8181818181818182,0.3811074918566775,0.52
Tomek Links,Cost-Sensitive DT,0.8106980273141123,0.3321678321678322,0.6188925081433225,0.4323094425483504
Tomek Links,XGBoost,0.9195751138088012,0.8368794326241135,0.38436482084690554,0.5267857142857143
Tomek Links,AdaBoost,0.9226100151745068,0.9327731092436975,0.36156351791530944,0.5211267605633803
Tomek Links,Calibrated LR,0.8888467374810318,1.0,0.04560260586319218,0.08722741433021806
Tomek Links,RUSBoost,0.9081942336874052,1.0,0.21172638436482086,0.34946236559139787
Tomek Links,Easy Ensemble,0.8372534142640364,0.387037037037037,0.6807817589576547,0.4935064935064935
Tomek Links,Balanced Bagging,0.8141122913505311,0.3391915641476274,0.6286644951140065,0.4406392694063927
ENN,Logistic Regression,0.891122913505311,1.0,0.06514657980456026,0.12232415902140673
ENN,Cost-Sensitive LR,0.36380880121396053,0.13052858683926646,0.7882736156351792,0.22397038408144376
ENN,SVM,0.9237481031866465,0.9818181818181818,0.3517915309446254,0.5179856115107914
ENN,Cost-Sensitive SVM,0.686267071320182,0.2363083164300203,0.758957654723127,0.36040216550657383
ENN,Decision Tree,0.8793626707132018,0.48220064724919093,0.48534201954397393,0.4837662337662338
ENN,Cost-Sensitive DT,0.6358118361153262,0.2050587172538392,0.739413680781759,0.32107496463932106
ENN,XGBoost,0.9025037936267072,0.5954198473282443,0.50814332247557,0.5483304042179262
ENN,AdaBoost,0.9169195751138088,0.7268041237113402,0.4592833876221498,0.562874251497006
ENN,Calibrated LR,0.8888467374810318,1.0,0.04560260586319218,0.08722741433021806
ENN,RUSBoost,0.6506069802731411,0.18609406952965235,0.5928338762214984,0.28326848249027237
ENN,Easy Ensemble,0.6714719271623673,0.22995169082125605,0.7752442996742671,0.35469448584202684
ENN,Balanced Bagging,0.6544006069802731,0.2112810707456979,0.7198697068403909,0.3266814486326681
Instance Hardness,Logistic Regression,0.22192716236722307,0.1257510729613734,0.9543973941368078,0.2222222222222222
Instance Hardness,Cost-Sensitive LR,0.1650227617602428,0.12089671737389912,0.9837133550488599,0.21532976827094474
Instance Hardness,SVM,0.24051593323216997,0.1287779237844941,0.9576547231270358,0.22702702702702704
Instance Hardness,Cost-Sensitive SVM,0.18437025796661607,0.12372396896692528,0.9869706840390879,0.21988388969521044
Instance Hardness,Decision Tree,0.22078907435508346,0.1278227524499361,0.9771986970684039,0.22607385079125847
Instance Hardness,Cost-Sensitive DT,0.21547799696509864,0.12706480304955528,0.9771986970684039,0.22488755622188905
Instance Hardness,XGBoost,0.21699544764795145,0.12728044123886295,0.9771986970684039,0.22522522522522523
Instance Hardness,AdaBoost,0.21851289833080426,0.1274968125796855,0.9771986970684039,0.22556390977443608
Instance Hardness,Calibrated LR,0.22230652503793627,0.1258050665521683,0.9543973941368078,0.22230652503793627
Instance Hardness,RUSBoost,0.2272382397572079,0.12843642611683848,0.9739413680781759,0.2269449715370019
