,F1-Score,F1-Score,F1-Score,Accuracy,Accuracy,Accuracy
,mean,std,max,mean,std,max
Model,,,,,,
AdaBoost,0.4352,0.1437,0.5629,0.7152,0.2924,0.9226
Balanced Bagging,0.3141,0.069,0.4406,0.5997,0.2251,0.8141
Calibrated LR,0.1707,0.1017,0.375,0.681,0.2825,0.8907
Cost-Sensitive DT,0.2662,0.0637,0.4323,0.4066,0.2141,0.8107
Cost-Sensitive LR,0.2297,0.0439,0.3655,0.2474,0.2036,0.7906
Cost-Sensitive SVM,0.2761,0.0992,0.5379,0.3666,0.2558,0.8866
Decision Tree,0.3895,0.1206,0.52,0.6906,0.2779,0.9181
Easy Ensemble,0.3432,0.0886,0.4935,0.6028,0.2071,0.8373
Logistic Regression,0.2023,0.0803,0.376,0.6817,0.2828,0.893
RUSBoost,0.3036,0.0592,0.3607,0.6494,0.2556,0.9082
SVM,0.4337,0.136,0.5513,0.734,0.28,0.9237
XGBoost,0.4381,0.1363,0.5483,0.7269,0.2959,0.9241
