Technique,Model,Accuracy,Precision,Recall,F1-Score
Baseline,Calibrated LR,0.8696982947092261,1.0,0.029315960912052116,0.056962025316455694
Baseline,XGBoost,0.910362920857018,0.8984375,0.3745928338762215,0.5287356321839081
Baseline,AdaBoost,0.9108001749016178,1.0,0.3355048859934853,0.5024390243902439
Baseline,SVM-RBF,0.9108001749016178,1.0,0.3355048859934853,0.5024390243902439
Baseline,Easy Ensemble,0.7743769129864452,0.33798449612403103,0.7100977198697068,0.4579831932773109
Baseline,RUSBoost,0.895059029296021,1.0,0.2182410423452769,0.3582887700534759
SMOTE+ENN,Calibrated LR,0.7717533887188457,0.29981378026070765,0.5244299674267101,0.3815165876777251
SMOTE+ENN,XGBoost,0.8613904678618277,0.48563218390804597,0.5504885993485342,0.516030534351145
SMOTE+ENN,AdaBoost,0.8255356362046349,0.4041666666666667,0.6319218241042345,0.49301143583227447
SMOTE+ENN,SVM-RBF,0.8159160472234368,0.38996138996138996,0.6579804560260586,0.4896969696969697
BorderlineSMOTE,Calibrated LR,0.8517708788806296,0.3904109589041096,0.18566775244299674,0.25165562913907286
BorderlineSMOTE,XGBoost,0.8871884564932225,0.5983935742971888,0.48534201954397393,0.5359712230215827
BorderlineSMOTE,AdaBoost,0.824661128115435,0.40289256198347106,0.6351791530944625,0.49304677623261695
BorderlineSMOTE,SVM-RBF,0.8937472671622213,0.634453781512605,0.49185667752442996,0.5541284403669725
SVM-SMOTE,Calibrated LR,0.8565806733712287,0.4117647058823529,0.15960912052117263,0.2300469483568075
SVM-SMOTE,XGBoost,0.9046786182772191,0.7379679144385026,0.4495114006514658,0.5587044534412956
SVM-SMOTE,AdaBoost,0.9108001749016178,1.0,0.3355048859934853,0.5024390243902439
SVM-SMOTE,SVM-RBF,0.9024923480542195,0.7164948453608248,0.4527687296416938,0.5548902195608783
NearMiss-2,Calibrated LR,0.20288587669435942,0.14109848484848486,0.9706840390879479,0.24638280281107897
NearMiss-2,XGBoost,0.19326628771316134,0.1419925512104283,0.993485342019544,0.2484725050916497
NearMiss-2,AdaBoost,0.1915172715347617,0.14039179104477612,0.9804560260586319,0.24561403508771928
NearMiss-2,SVM-RBF,0.20463489287275907,0.14170616113744075,0.9739413680781759,0.2474141497724452
