Technique,Model,Accuracy,Precision,Recall,F1-Score,Train_Size
Baseline,Logistic Regression,0.8914757791963951,1.0,0.05863192182410423,0.11076923076923077,13044
Baseline,Random Forest,0.907247465264739,0.689873417721519,0.3550488599348534,0.46881720430107526,13044
Baseline,Gradient Boosting,0.9192639879834773,0.9035087719298246,0.3355048859934853,0.48931116389548696,13044
Baseline,SVM,0.917761922643635,1.0,0.28664495114006516,0.44556962025316454,13044
Undersampling,Logistic Regression,0.8201276755538865,0.24404761904761904,0.2671009771986971,0.25505443234836706,3690
Undersampling,Random Forest,0.7615471273000376,0.2515151515151515,0.5407166123778502,0.34332988624612204,3690
Undersampling,Gradient Boosting,0.8332707472775066,0.34324942791762014,0.48859934853420195,0.4032258064516129,3690
Undersampling,SVM,0.9091250469395419,0.671957671957672,0.41368078175895767,0.5120967741935484,3690
Cost-Sensitive,Logistic Regression,0.5606458880961321,0.16156862745098038,0.6710097719869706,0.2604298356510746,13044
Cost-Sensitive,Random Forest,0.9132557266241081,0.7923076923076923,0.3355048859934853,0.47139588100686497,13044
Cost-Sensitive,Gradient Boosting,0.9192639879834773,0.9035087719298246,0.3355048859934853,0.48931116389548696,13044
Cost-Sensitive,SVM,0.7014645137063462,0.22209567198177677,0.6351791530944625,0.3291139240506329,13044
SMOTE,Logistic Regression,0.5531355613969208,0.162203519510329,0.6905537459283387,0.26270136307311026,23628
SMOTE,Random Forest,0.7630491926398798,0.2395498392282958,0.48534201954397393,0.3207750269106566,23628
SMOTE,Gradient Boosting,0.8043559894855427,0.3222591362126246,0.6319218241042345,0.42684268426842686,23628
SMOTE,SVM,0.7187382651145325,0.234375,0.6351791530944625,0.3424056189640035,23628
Borderline-SMOTE,Logistic Regression,0.6079609463011642,0.16530426884650318,0.5928338762214984,0.2585227272727273,23628
Borderline-SMOTE,Random Forest,0.8062335711603454,0.2845360824742268,0.4495114006514658,0.3484848484848485,23628
Borderline-SMOTE,Gradient Boosting,0.7615471273000376,0.27534246575342464,0.6547231270358306,0.3876567020250723,23628
Borderline-SMOTE,SVM,0.6597822005257229,0.21339712918660286,0.7263843648208469,0.32988165680473375,23628
ADASYN,Logistic Regression,0.5493803980473151,0.1609719058466211,0.6905537459283387,0.26108374384236455,23661
ADASYN,Random Forest,0.7382651145324821,0.21153846153846154,0.46579804560260585,0.29094608341810785,23661
ADASYN,Gradient Boosting,0.6665414945550131,0.21266073194856577,0.7003257328990228,0.3262518968133536,23661
ADASYN,SVM,0.5114532482162975,0.16236413043478262,0.7785016286644951,0.268690275435638,23661
