Feature,Coefficient,Abs_Coefficient,Standardized_Coef
Trigram Surprisal,-5.1074122902903145,5.1074122902903145,-5.107502402277953
Case Marker Transitions,-0.36548207628025714,0.36548207628025714,-0.16266400653069152
Information Status,0.31102103278332777,0.31102103278332777,0.3110265202438782
Positional LM,-0.29768294199550466,0.29768294199550466,-0.29768819412712566
Dependency Length,-0.16266113663934556,0.16266113663934556,-0.3654885246173834
Case MarkerTransitions²,4.294409047169317e-07,4.294409047169317e-07,-1.659039636313779e-08
Positional LM²,6.471294328011705e-08,6.471294328011705e-08,1.927185950743223e-09
DependencyLength²,6.208865992014763e-08,6.208865992014763e-08,4.264648628042293e-08
InformationStatus²,4.3246086120052795e-08,4.3246086120052795e-08,-7.973244009559102e-09
Positional LM × Case MarkerTransitions,3.13173172351715e-08,3.13173172351715e-08,4.6152467843804745e-10
TrigramSurprisal × Case MarkerTransitions,-1.3996603067058952e-08,1.3996603067058952e-08,3.071251333973289e-09
DependencyLength × InformationStatus,-6.621432450731221e-09,6.621432450731221e-09,9.657086952570653e-09
TrigramSurprisal²,5.4276313641017526e-09,5.4276313641017526e-09,2.3939149351295944e-07
InformationStatus × Case MarkerTransitions,4.241234833773155e-09,4.241234833773155e-09,5.460568173012629e-08
TrigramSurprisal × Positional LM,1.7067405313065679e-09,1.7067405313065679e-09,1.3002856222131e-07
TrigramSurprisal × DependencyLength,3.26528696103446e-10,3.26528696103446e-10,1.7098785617262094e-06
