Feature,Importance,Std,CI_Lower,CI_Upper
Trigram Surprisal,0.3720265819807104,0.0036678998970122324,0.36469078218668594,0.3793623817747349
Case Marker Transitions,0.004283697953422772,0.0006071894915982774,0.0030693189702262168,0.0054980769366193265
Information Status,0.0036144436603152735,0.0008453233995961071,0.0019237968611230593,0.005305090459507488
Positional LM,0.0028252175958598485,0.0007278311791534525,0.0013695552375529436,0.004280879954166754
Dependency Length,0.0008139261350270987,0.000620129726264503,-0.00042633331750190735,0.002054185587556105
Positional LM × Case MarkerTransitions,3.52858151023705e-06,1.0585744530711149e-05,-1.764290755118525e-05,2.4700070571659347e-05
TrigramSurprisal × Case MarkerTransitions,3.7007434154171884e-18,9.11075828324134e-06,-1.822151656647898e-05,1.822151656648638e-05
TrigramSurprisal × Positional LM,0.0,0.0,0.0,0.0
DependencyLength × InformationStatus,0.0,0.0,0.0,0.0
TrigramSurprisal × DependencyLength,0.0,0.0,0.0,0.0
InformationStatus × Case MarkerTransitions,0.0,0.0,0.0,0.0
TrigramSurprisal²,0.0,0.0,0.0,0.0
DependencyLength²,0.0,0.0,0.0,0.0
InformationStatus²,0.0,0.0,0.0,0.0
Positional LM²,0.0,0.0,0.0,0.0
Case MarkerTransitions²,0.0,0.0,0.0,0.0
